country,year,sex,age,suicides_no,population,rate
Hong Kong SAR,2014,female,35-54 years,129,1344900,9.591791211
Hong Kong SAR,2014,female,5-14 years,2,260500,0.767754319
Hong Kong SAR,2014,female,55-74 years,91,797000,11.41781681
Hong Kong SAR,2014,female,75+ years,73,302700,24.11628675
Hong Kong SAR,2014,male,15-24 years,36,422300,8.524745442
Hong Kong SAR,2014,male,25-34 years,70,457200,15.31058618
Hong Kong SAR,2014,male,35-54 years,206,1035100,19.9014588
Hong Kong SAR,2014,male,5-14 years,2,277500,0.720720721
Hong Kong SAR,2014,male,55-74 years,160,791700,20.20967538
Hong Kong SAR,2014,male,75+ years,89,223300,39.85669503
Hong Kong SAR,2015,female,15-24 years,14,401900,3.483453595
Hong Kong SAR,2015,female,25-34 years,49,632600,7.745810939
Hong Kong SAR,2015,female,35-54 years,128,1348200,9.494140335
Hong Kong SAR,2015,female,5-14 years,2,263600,0.758725341
Hong Kong SAR,2015,female,55-74 years,105,835400,12.5688293
Hong Kong SAR,2015,female,75+ years,65,308400,21.07652399
Hong Kong SAR,2015,male,15-24 years,48,409200,11.73020528
Hong Kong SAR,2015,male,25-34 years,78,459800,16.96389735
Hong Kong SAR,2015,male,35-54 years,207,1014400,20.40615142
Hong Kong SAR,2015,male,5-14 years,2,281000,0.711743772
Hong Kong SAR,2015,male,55-74 years,192,825600,23.25581395
Hong Kong SAR,2015,male,75+ years,100,229400,43.59197908
Hungary,1979,female,15-24 years,52,732800,7.096069869
Hungary,1979,female,25-34 years,131,814500,16.0834868
Hungary,1979,female,35-54 years,470,1420700,33.08228338
Hungary,1979,female,5-14 years,1,699000,0.143061516
Hungary,1979,female,55-74 years,568,1116700,50.86415331
Hungary,1979,female,75+ years,242,301200,80.34528552
Hungary,1979,male,15-24 years,236,770900,30.61356856
Hungary,1979,male,25-34 years,457,838600,54.49558788
Hungary,1979,male,35-54 years,1246,1337500,93.1588785
Hungary,1979,male,5-14 years,16,740400,2.160994057
Hungary,1979,male,55-74 years,984,883400,111.3878198
Hungary,1979,male,75+ years,364,172400,211.136891
Hungary,1980,female,15-24 years,56,698500,8.017179671
Hungary,1980,female,25-34 years,136,827000,16.44498186
Hungary,1980,female,35-54 years,445,1411900,31.51781288
Hungary,1980,female,5-14 years,6,729500,0.822481151
Hungary,1980,female,55-74 years,537,1133800,47.36285059
Hungary,1980,female,75+ years,282,311400,90.55876686
Hungary,1980,male,15-24 years,231,733900,31.47567789
Hungary,1980,male,25-34 years,494,847700,58.27533325
Hungary,1980,male,35-54 years,1282,1328500,96.49981182
Hungary,1980,male,5-14 years,28,774800,3.613835829
Hungary,1980,male,55-74 years,943,892900,105.6109307
Hungary,1980,male,75+ years,357,176600,202.1517554
Hungary,1981,female,15-24 years,67,671100,9.983609
Hungary,1981,female,25-34 years,148,849100,17.43022023
Hungary,1981,female,35-54 years,490,1399900,35.00250018
Hungary,1981,female,5-14 years,6,755200,0.794491525
Hungary,1981,female,55-74 years,603,1142500,52.77899344
Hungary,1981,female,75+ years,272,316700,85.88569624
Hungary,1981,male,15-24 years,222,706300,31.43140309
Hungary,1981,male,25-34 years,496,871700,56.90030974
Hungary,1981,male,35-54 years,1204,1320400,91.18448955
Hungary,1981,male,5-14 years,17,801500,2.121023082
Hungary,1981,male,55-74 years,956,896400,106.6488175
Hungary,1981,male,75+ years,390,177900,219.2242833
Hungary,1982,female,15-24 years,58,656300,8.837421911
Hungary,1982,female,25-34 years,112,857100,13.06732003
Hungary,1982,female,35-54 years,426,1396200,30.51138805
Hungary,1982,female,5-14 years,2,774100,0.258364552
Hungary,1982,female,55-74 years,602,1146100,52.5259576
Hungary,1982,female,75+ years,242,323800,74.73749228
Hungary,1982,male,15-24 years,180,692000,26.01156069
Hungary,1982,male,25-34 years,486,880900,55.170848
Hungary,1982,male,35-54 years,1222,1320000,92.57575758
Hungary,1982,male,5-14 years,11,820000,1.341463415
Hungary,1982,male,55-74 years,936,896700,104.3827367
Hungary,1982,male,75+ years,378,180300,209.6505824
Hungary,1983,female,15-24 years,62,652900,9.496094348
Hungary,1983,female,25-34 years,140,851600,16.43964302
Hungary,1983,female,35-54 years,465,1399700,33.22140459
Hungary,1983,female,5-14 years,5,785200,0.636780438
Hungary,1983,female,55-74 years,530,1147300,46.19541532
Hungary,1983,female,75+ years,253,331200,76.38888889
Hungary,1983,male,15-24 years,185,689000,26.85050798
Hungary,1983,male,25-34 years,529,876300,60.36745407
Hungary,1983,male,35-54 years,1372,1325600,103.5003018
Hungary,1983,male,5-14 years,17,831800,2.043760519
Hungary,1983,male,55-74 years,1009,895500,112.6744835
Hungary,1983,male,75+ years,339,183000,185.2459016
Hungary,1984,female,15-24 years,47,653700,7.189842435
Hungary,1984,female,25-34 years,141,841000,16.76575505
Hungary,1984,female,35-54 years,424,1404600,30.18652997
Hungary,1984,female,5-14 years,3,791600,0.378979282
Hungary,1984,female,55-74 years,508,1147600,44.26629488
Hungary,1984,female,75+ years,291,340000,85.58823529
Hungary,1984,male,15-24 years,185,691600,26.74956622
Hungary,1984,male,25-34 years,525,865700,60.64456509
Hungary,1984,male,35-54 years,1420,1332500,106.5666041
Hungary,1984,male,5-14 years,21,838500,2.504472272
Hungary,1984,male,55-74 years,970,893500,108.5618355
Hungary,1984,male,75+ years,365,186200,196.0257787
Hungary,1985,female,15-24 years,42,656500,6.397562833
Hungary,1985,female,25-34 years,139,826300,16.82197749
Hungary,1985,female,35-54 years,372,1410800,26.36801815
Hungary,1985,female,5-14 years,6,794000,0.755667506
Hungary,1985,female,55-74 years,466,1148000,40.59233449
Hungary,1985,female,75+ years,253,349300,72.43057544
Hungary,1985,male,15-24 years,176,696100,25.2837236
Hungary,1985,male,25-34 years,563,850400,66.20413923
Hungary,1985,male,35-54 years,1421,1340700,105.9894085
Hungary,1985,male,5-14 years,5,840200,0.595096406
Hungary,1985,male,55-74 years,889,892400,99.61900493
Hungary,1985,male,75+ years,393,189700,207.1692145
Hungary,1986,female,15-24 years,56,661300,8.468168759
Hungary,1986,female,25-34 years,155,808100,19.18079446
Hungary,1986,female,35-54 years,446,1419000,31.43058492
Hungary,1986,female,5-14 years,6,792700,0.756906774
Hungary,1986,female,55-74 years,472,1147700,41.12572972
Hungary,1986,female,75+ years,289,357200,80.90705487
Hungary,1986,male,15-24 years,142,701700,20.23656833
Hungary,1986,male,25-34 years,557,832700,66.89083704
Hungary,1986,male,35-54 years,1392,1351000,103.034789
Hungary,1986,male,5-14 years,7,837300,0.836020542
Hungary,1986,male,55-74 years,931,890600,104.5362677
Hungary,1986,male,75+ years,364,192900,188.6988077
Hungary,1987,female,15-24 years,69,670300,10.29389825
Hungary,1987,female,25-34 years,141,787200,17.91158537
Hungary,1987,female,35-54 years,422,1428100,29.54975142
Hungary,1987,female,5-14 years,3,787400,0.381000762
Hungary,1987,female,55-74 years,517,1145200,45.14495285
Hungary,1987,female,75+ years,253,366200,69.08793009
Hungary,1987,male,15-24 years,173,711200,24.32508436
Hungary,1987,male,25-34 years,547,813300,67.25685479
Hungary,1987,male,35-54 years,1351,1362300,99.17052044
Hungary,1987,male,5-14 years,9,830600,1.083554057
Hungary,1987,male,55-74 years,927,886300,104.5921246
Hungary,1987,male,75+ years,370,196800,188.0081301
Hungary,1988,female,15-24 years,69,682100,10.11581879
Hungary,1988,female,25-34 years,145,761500,19.04136573
Hungary,1988,female,35-54 years,443,1441300,30.73614098
Hungary,1988,female,5-14 years,4,776700,0.514999356
Hungary,1988,female,55-74 years,462,1142600,40.43409767
Hungary,1988,female,75+ years,282,376300,74.94020728
Hungary,1988,male,15-24 years,152,723600,21.00608071
Hungary,1988,male,25-34 years,456,788500,57.8313253
Hungary,1988,male,35-54 years,1218,1378600,88.35050051
Hungary,1988,male,5-14 years,13,818400,1.588465298
Hungary,1988,male,55-74 years,785,882700,88.93168687
Hungary,1988,male,75+ years,348,201300,172.876304
Hungary,1989,female,15-24 years,51,700600,7.279474736
Hungary,1989,female,25-34 years,109,728200,14.96841527
Hungary,1989,female,35-54 years,405,1464300,27.65826675
Hungary,1989,female,5-14 years,4,756700,0.528611074
Hungary,1989,female,55-74 years,408,1139600,35.8020358
Hungary,1989,female,75+ years,287,385100,74.52609712
Hungary,1989,male,15-24 years,177,742400,23.84159483
Hungary,1989,male,25-34 years,476,755500,63.00463269
Hungary,1989,male,35-54 years,1296,1405200,92.22886422
Hungary,1989,male,5-14 years,11,796100,1.381735963
Hungary,1989,male,55-74 years,813,878600,92.53357614
Hungary,1989,male,75+ years,359,204800,175.2929688
Hungary,1990,female,15-24 years,59,721104,8.181898866
Hungary,1990,female,25-34 years,80,677383,11.81015762
Hungary,1990,female,35-54 years,361,1464694,24.64678629
Hungary,1990,female,5-14 years,6,724010,0.828717835
Hungary,1990,female,55-74 years,365,1130054,32.29934145
Hungary,1990,female,75+ years,282,373298,75.54286388
Hungary,1990,male,15-24 years,152,756824,20.08392969
Hungary,1990,male,25-34 years,385,688003,55.95905832
Hungary,1990,male,35-54 years,1231,1397151,88.10787095
Hungary,1990,male,5-14 years,19,758935,2.503508206
Hungary,1990,male,55-74 years,807,869707,92.78987061
Hungary,1990,male,75+ years,386,196496,196.4416578
Hungary,1991,female,15-24 years,40,748660,5.342879278
Hungary,1991,female,25-34 years,85,652494,13.02693971
Hungary,1991,female,35-54 years,341,1486414,22.94111869
Hungary,1991,female,5-14 years,2,697494,0.286740818
Hungary,1991,female,55-74 years,382,1146759,33.31127116
Hungary,1991,female,75+ years,263,363039,72.44400739
Hungary,1991,male,15-24 years,154,785554,19.60399922
Hungary,1991,male,25-34 years,364,663374,54.87100791
Hungary,1991,male,35-54 years,1271,1420586,89.47012008
Hungary,1991,male,5-14 years,7,730241,0.958587644
Hungary,1991,male,55-74 years,751,874916,85.83681176
Hungary,1991,male,75+ years,333,188235,176.9065264
Hungary,1992,female,15-24 years,44,767574,5.732346328
Hungary,1992,female,25-34 years,73,639938,11.40735509
Hungary,1992,female,35-54 years,346,1499718,23.07100402
Hungary,1992,female,5-14 years,2,674998,0.296297174
Hungary,1992,female,55-74 years,384,1167015,32.90446138
Hungary,1992,female,75+ years,212,349038,60.73837233
Hungary,1992,male,15-24 years,202,804971,25.09407171
Hungary,1992,male,25-34 years,364,651345,55.88436236
Hungary,1992,male,35-54 years,1281,1435500,89.23719958
Hungary,1992,male,5-14 years,9,706161,1.274496892
Hungary,1992,male,55-74 years,766,880216,87.02409409
Hungary,1992,male,75+ years,317,178482,177.6089466
Hungary,1993,female,15-24 years,43,778205,5.52553633
Hungary,1993,female,25-34 years,63,638434,9.867895507
Hungary,1993,female,35-54 years,320,1505289,21.2583763
Hungary,1993,female,5-14 years,1,655499,0.152555534
Hungary,1993,female,55-74 years,354,1187358,29.81409145
Hungary,1993,female,75+ years,198,335159,59.07643835
Hungary,1993,male,15-24 years,157,816038,19.23930013
Hungary,1993,male,25-34 years,326,650343,50.12739431
Hungary,1993,male,35-54 years,1189,1441399,82.48930379
Hungary,1993,male,5-14 years,7,685836,1.020652168
Hungary,1993,male,55-74 years,736,885398,83.12645838
Hungary,1993,male,75+ years,300,168944,177.5736339
Hungary,1994,female,15-24 years,41,783898,5.230272306
Hungary,1994,female,25-34 years,57,641114,8.890774496
Hungary,1994,female,35-54 years,310,1507467,20.56429759
Hungary,1994,female,5-14 years,1,639352,0.156408363
Hungary,1994,female,55-74 years,272,1197788,22.70852605
Hungary,1994,female,75+ years,217,331979,65.36558035
Hungary,1994,male,15-24 years,167,821912,20.31847692
Hungary,1994,male,25-34 years,302,654647,46.13173206
Hungary,1994,male,35-54 years,1194,1442354,82.78134217
Hungary,1994,male,5-14 years,7,668761,1.046711755
Hungary,1994,male,55-74 years,765,885885,86.35432364
Hungary,1994,male,75+ years,292,165660,176.2646384
Hungary,1995,female,15-24 years,30,786111,3.816254956
Hungary,1995,female,25-34 years,55,645436,8.5213716
Hungary,1995,female,35-54 years,284,1506265,18.85458402
Hungary,1995,female,5-14 years,0,627589,0
Hungary,1995,female,55-74 years,320,1197086,26.73157985
Hungary,1995,female,75+ years,202,342301,59.01238968
Hungary,1995,male,15-24 years,159,823833,19.30002804
Hungary,1995,male,25-34 years,244,661031,36.9120359
Hungary,1995,male,35-54 years,1114,1439373,77.3948101
Hungary,1995,male,5-14 years,8,655969,1.219569827
Hungary,1995,male,55-74 years,668,882335,75.70820607
Hungary,1995,male,75+ years,282,169919,165.9614287
Hungary,1996,female,15-24 years,29,785423,3.692277919
Hungary,1996,female,25-34 years,49,651327,7.523102835
Hungary,1996,female,35-54 years,281,1502683,18.69988547
Hungary,1996,female,5-14 years,1,620053,0.161276536
Hungary,1996,female,55-74 years,332,1193895,27.80814058
Hungary,1996,female,75+ years,224,355446,63.01941786
Hungary,1996,male,15-24 years,147,823037,17.86067941
Hungary,1996,male,25-34 years,253,668423,37.85028343
Hungary,1996,male,35-54 years,1146,1434514,79.88768322
Hungary,1996,male,5-14 years,2,647562,0.308850736
Hungary,1996,male,55-74 years,718,878781,81.70408782
Hungary,1996,male,75+ years,254,176106,144.2313152
Hungary,1997,female,15-24 years,32,781186,4.096335572
Hungary,1997,female,25-34 years,40,661074,6.050759824
Hungary,1997,female,35-54 years,249,1494699,16.65887246
Hungary,1997,female,5-14 years,2,614597,0.325416492
Hungary,1997,female,55-74 years,303,1191288,25.4346556
Hungary,1997,female,75+ years,199,369640,53.83616492
Hungary,1997,male,15-24 years,131,818909,15.99689343
Hungary,1997,male,25-34 years,255,679841,37.50877043
Hungary,1997,male,35-54 years,1039,1425819,72.8703994
Hungary,1997,male,5-14 years,5,641303,0.779662656
Hungary,1997,male,55-74 years,657,876617,74.94721184
Hungary,1997,male,75+ years,296,182808,161.9185156
Hungary,1998,female,15-24 years,29,772891,3.752146163
Hungary,1998,female,25-34 years,54,673296,8.020246667
Hungary,1998,female,35-54 years,268,1484346,18.05508958
Hungary,1998,female,5-14 years,0,609542,0
Hungary,1998,female,55-74 years,241,1190456,20.24434334
Hungary,1998,female,75+ years,185,384001,48.17695787
Hungary,1998,male,15-24 years,145,810229,17.89617503
Hungary,1998,male,25-34 years,275,693639,39.645983
Hungary,1998,male,35-54 years,1185,1414258,83.78952072
Hungary,1998,male,5-14 years,5,635890,0.786299517
Hungary,1998,male,55-74 years,620,876420,70.74233815
Hungary,1998,male,75+ years,238,189405,125.6566617
Hungary,1999,female,15-24 years,29,751430,3.859308252
Hungary,1999,female,25-34 years,51,687362,7.419671149
Hungary,1999,female,35-54 years,246,1445083,17.02324365
Hungary,1999,female,5-14 years,1,594331,0.168256409
Hungary,1999,female,55-74 years,267,1155762,23.10164203
Hungary,1999,female,75+ years,184,378946,48.5557309
Hungary,1999,male,15-24 years,150,786244,19.07804702
Hungary,1999,male,25-34 years,285,714686,39.87765256
Hungary,1999,male,35-54 years,1138,1384204,82.21331538
Hungary,1999,male,5-14 years,11,622165,1.768019738
Hungary,1999,male,55-74 years,662,847199,78.13984672
Hungary,1999,male,75+ years,302,185652,162.6699416
Hungary,2000,female,15-24 years,29,721347,4.020256548
Hungary,2000,female,25-34 years,47,717781,6.547958221
Hungary,2000,female,35-54 years,256,1433302,17.86085556
Hungary,2000,female,5-14 years,3,588533,0.50974202
Hungary,2000,female,55-74 years,272,1153021,23.59020347
Hungary,2000,female,75+ years,199,387228,51.39091181
Hungary,2000,male,15-24 years,132,754097,17.50437941
Hungary,2000,male,25-34 years,302,747288,40.41279935
Hungary,2000,male,35-54 years,1090,1373290,79.37143648
Hungary,2000,male,5-14 years,8,616642,1.297349191
Hungary,2000,male,55-74 years,659,845819,77.91265034
Hungary,2000,male,75+ years,272,188686,144.1548393
Hungary,2001,female,15-24 years,31,713068,4.347411467
Hungary,2001,female,25-34 years,38,742972,5.11459382
Hungary,2001,female,35-54 years,241,1459506,16.5124364
Hungary,2001,female,5-14 years,1,582764,0.171596049
Hungary,2001,female,55-74 years,228,1190022,19.15930966
Hungary,2001,female,75+ years,157,419870,37.39252626
Hungary,2001,male,15-24 years,132,745448,17.70747255
Hungary,2001,male,25-34 years,254,767594,33.09040977
Hungary,2001,male,35-54 years,1038,1388219,74.77206406
Hungary,2001,male,5-14 years,3,610320,0.491545419
Hungary,2001,male,55-74 years,579,879449,65.83667728
Hungary,2001,male,75+ years,276,205366,134.3942035
Hungary,2002,female,15-24 years,25,692093,3.612231304
Hungary,2002,female,25-34 years,41,761375,5.384994254
Hungary,2002,female,35-54 years,248,1453102,17.0669368
Hungary,2002,female,5-14 years,3,570215,0.526117342
Hungary,2002,female,55-74 years,181,1190173,15.20787314
Hungary,2002,female,75+ years,149,430724,34.59291797
Hungary,2002,male,15-24 years,123,722619,17.02141793
Hungary,2002,male,25-34 years,232,787190,29.4719191
Hungary,2002,male,35-54 years,997,1382754,72.10248533
Hungary,2002,male,5-14 years,4,598250,0.668616799
Hungary,2002,male,55-74 years,582,881937,65.99110821
Hungary,2002,male,75+ years,254,209732,121.1069365
Hungary,2003,female,15-24 years,23,672145,3.421880695
Hungary,2003,female,25-34 years,33,772722,4.270617376
Hungary,2003,female,35-54 years,211,1446346,14.58848713
Hungary,2003,female,5-14 years,0,557602,0
Hungary,2003,female,55-74 years,214,1196595,17.88407941
Hungary,2003,female,75+ years,159,440470,36.09780462
Hungary,2003,male,15-24 years,101,701620,14.39525669
Hungary,2003,male,25-34 years,231,799322,28.89949232
Hungary,2003,male,35-54 years,939,1377798,68.15222551
Hungary,2003,male,5-14 years,8,585286,1.366853128
Hungary,2003,male,55-74 years,645,888834,72.56698101
Hungary,2003,male,75+ years,236,213793,110.3871502
Hungary,2004,female,15-24 years,21,655267,3.204800486
Hungary,2004,female,25-34 years,45,781012,5.761755261
Hungary,2004,female,35-54 years,243,1440339,16.87102828
Hungary,2004,female,5-14 years,2,544457,0.367338468
Hungary,2004,female,55-74 years,198,1204796,16.43431751
Hungary,2004,female,75+ years,146,450461,32.41124093
Hungary,2004,male,15-24 years,111,683254,16.24578854
Hungary,2004,male,25-34 years,233,809225,28.79298094
Hungary,2004,male,35-54 years,933,1374752,67.86678615
Hungary,2004,male,5-14 years,5,571353,0.875115734
Hungary,2004,male,55-74 years,543,896983,60.53626434
Hungary,2004,male,75+ years,262,218145,120.1036008
Hungary,2005,female,15-24 years,17,643025,2.643754131
Hungary,2005,female,25-34 years,38,786160,4.833621655
Hungary,2005,female,35-54 years,214,1431293,14.95151587
Hungary,2005,female,5-14 years,0,531081,0
Hungary,2005,female,55-74 years,203,1213827,16.72396478
Hungary,2005,female,75+ years,121,460429,26.27983902
Hungary,2005,male,15-24 years,80,669313,11.95255434
Hungary,2005,male,25-34 years,215,816243,26.34019526
Hungary,2005,male,35-54 years,912,1370704,66.53515274
Hungary,2005,male,5-14 years,5,557376,0.897060512
Hungary,2005,male,55-74 years,545,906718,60.10689101
Hungary,2005,male,75+ years,269,222774,120.7501773
Hungary,2006,female,15-24 years,15,634608,2.363663868
Hungary,2006,female,25-34 years,52,788769,6.592551178
Hungary,2006,female,35-54 years,227,1421095,15.97359782
Hungary,2006,female,5-14 years,1,517602,0.193198635
Hungary,2006,female,55-74 years,187,1224334,15.27360998
Hungary,2006,female,75+ years,118,469796,25.11728495
Hungary,2006,male,15-24 years,84,659708,12.73290607
Hungary,2006,male,25-34 years,196,820042,23.90121482
Hungary,2006,male,35-54 years,825,1366901,60.3555049
Hungary,2006,male,5-14 years,2,543679,0.367864126
Hungary,2006,male,55-74 years,550,917547,59.94243347
Hungary,2006,male,75+ years,204,227029,89.85636196
Hungary,2007,female,15-24 years,12,627355,1.912792597
Hungary,2007,female,25-34 years,32,787885,4.061506438
Hungary,2007,female,35-54 years,196,1412746,13.87368996
Hungary,2007,female,5-14 years,0,505214,0
Hungary,2007,female,55-74 years,199,1235077,16.11235575
Hungary,2007,female,75+ years,132,478370,27.59370362
Hungary,2007,male,15-24 years,77,652277,11.80480072
Hungary,2007,male,25-34 years,190,820057,23.16912117
Hungary,2007,male,35-54 years,791,1364796,57.95737971
Hungary,2007,male,5-14 years,2,531164,0.376531542
Hungary,2007,male,55-74 years,567,927533,61.1299005
Hungary,2007,male,75+ years,252,230464,109.3446265
Hungary,2008,female,15-24 years,18,620679,2.900049784
Hungary,2008,female,25-34 years,40,783195,5.107284904
Hungary,2008,female,35-54 years,193,1402042,13.76563612
Hungary,2008,female,5-14 years,0,494614,0
Hungary,2008,female,55-74 years,187,1248557,14.97728978
Hungary,2008,female,75+ years,128,486526,26.30897424
Hungary,2008,male,15-24 years,76,645909,11.76636337
Hungary,2008,male,25-34 years,183,815714,22.4343336
Hungary,2008,male,35-54 years,794,1360689,58.35279039
Hungary,2008,male,5-14 years,4,520680,0.768226166
Hungary,2008,male,55-74 years,590,940519,62.73132175
Hungary,2008,male,75+ years,263,233660,112.5567063
Hungary,2009,female,15-24 years,19,615144,3.088707685
Hungary,2009,female,25-34 years,42,770068,5.454063797
Hungary,2009,female,35-54 years,191,1390659,13.73449566
Hungary,2009,female,5-14 years,4,485140,0.824504267
Hungary,2009,female,55-74 years,212,1270295,16.6890368
Hungary,2009,female,75+ years,91,493507,18.43945476
Hungary,2009,male,15-24 years,111,641509,17.30295288
Hungary,2009,male,25-34 years,188,802616,23.42340546
Hungary,2009,male,35-54 years,773,1356600,56.98068701
Hungary,2009,male,5-14 years,3,511177,0.586880865
Hungary,2009,male,55-74 years,612,961155,63.67339295
Hungary,2009,male,75+ years,214,236367,90.53717312
Hungary,2010,female,15-24 years,20,607500,3.29218107
Hungary,2010,female,25-34 years,37,748440,4.943616055
Hungary,2010,female,35-54 years,170,1386313,12.26274297
Hungary,2010,female,5-14 years,1,477532,0.20941005
Hungary,2010,female,55-74 years,210,1293957,16.22928737
Hungary,2010,female,75+ years,109,499021,21.84276814
Hungary,2010,male,15-24 years,77,635049,12.12504862
Hungary,2010,male,25-34 years,190,780872,24.33177268
Hungary,2010,male,35-54 years,760,1360114,55.87766908
Hungary,2010,male,5-14 years,2,503475,0.397239188
Hungary,2010,male,55-74 years,671,983463,68.22829125
Hungary,2010,male,75+ years,242,238269,101.5658772
Hungary,2011,female,15-24 years,16,595635,2.686208836
Hungary,2011,female,25-34 years,22,727841,3.022638186
Hungary,2011,female,35-54 years,182,1388027,13.11213687
Hungary,2011,female,5-14 years,3,473510,0.633566345
Hungary,2011,female,55-74 years,229,1312734,17.44450894
Hungary,2011,female,75+ years,122,503846,24.21374785
Hungary,2011,male,15-24 years,87,623854,13.9455706
Hungary,2011,male,25-34 years,173,758588,22.80552817
Hungary,2011,male,35-54 years,751,1370341,54.80387728
Hungary,2011,male,5-14 years,3,499293,0.600849601
Hungary,2011,male,55-74 years,632,1001836,63.08417745
Hungary,2011,male,75+ years,200,239506,83.5052149
Hungary,2012,female,15-24 years,15,586456,2.557736642
Hungary,2012,female,25-34 years,28,664791,4.21185004
Hungary,2012,female,35-54 years,160,1408223,11.36183687
Hungary,2012,female,5-14 years,0,470870,0
Hungary,2012,female,55-74 years,219,1343763,16.29751675
Hungary,2012,female,75+ years,124,498354,24.88191125
Hungary,2012,male,15-24 years,82,618784,13.25179707
Hungary,2012,male,25-34 years,148,685537,21.58891497
Hungary,2012,male,35-54 years,683,1396201,48.91845802
Hungary,2012,male,5-14 years,2,497525,0.40198985
Hungary,2012,male,55-74 years,655,1049911,62.38624036
Hungary,2012,male,75+ years,233,232766,100.1005301
Hungary,2013,female,15-24 years,12,576334,2.082125989
Hungary,2013,female,25-34 years,31,642913,4.821803261
Hungary,2013,female,35-54 years,155,1416711,10.94083409
Hungary,2013,female,5-14 years,1,471456,0.212108871
Hungary,2013,female,55-74 years,200,1349472,14.82061132
Hungary,2013,female,75+ years,106,503084,21.07003999
Hungary,2013,male,15-24 years,60,608253,9.864316329
Hungary,2013,male,25-34 years,107,664876,16.09322641
Hungary,2013,male,35-54 years,613,1409798,43.48140656
Hungary,2013,male,5-14 years,0,497640,0
Hungary,2013,male,55-74 years,606,1058520,57.24974493
Hungary,2013,male,75+ years,201,234783,85.61096843
Hungary,2014,female,15-24 years,8,564343,1.417577608
Hungary,2014,female,25-34 years,23,624055,3.685572586
Hungary,2014,female,35-54 years,152,1423878,10.67507188
Hungary,2014,female,5-14 years,0,473335,0
Hungary,2014,female,55-74 years,183,1351899,13.53651419
Hungary,2014,female,75+ years,81,508688,15.92331645
Hungary,2014,male,15-24 years,72,595596,12.08873129
Hungary,2014,male,25-34 years,130,648134,20.05758069
Hungary,2014,male,35-54 years,495,1422078,34.80821727
Hungary,2014,male,5-14 years,2,499483,0.400414028
Hungary,2014,male,55-74 years,600,1063532,56.41579191
Hungary,2014,male,75+ years,179,237767,75.28378623
Hungary,2015,female,15-24 years,15,551149,2.721587084
Hungary,2015,female,25-34 years,27,610907,4.419657984
Hungary,2015,female,35-54 years,132,1429644,9.233067813
Hungary,2015,female,5-14 years,1,473285,0.211289181
Hungary,2015,female,55-74 years,181,1350675,13.40070705
Hungary,2015,female,75+ years,123,514721,23.89644098
Hungary,2015,male,15-24 years,69,582471,11.84608332
Hungary,2015,male,25-34 years,129,637775,20.22656893
Hungary,2015,male,35-54 years,472,1432703,32.94472057
Hungary,2015,male,5-14 years,2,499016,0.400788752
Hungary,2015,male,55-74 years,496,1065443,46.55340548
Hungary,2015,male,75+ years,221,241730,91.42431639
Hungary,2016,female,15-24 years,14,536865,2.607731925
Hungary,2016,female,25-34 years,30,602785,4.976898894
Hungary,2016,female,35-54 years,121,1432415,8.447272613
Hungary,2016,female,5-14 years,0,470109,0
Hungary,2016,female,55-74 years,161,1346205,11.95954554
Hungary,2016,female,75+ years,120,521024,23.0315686
Hungary,2016,male,15-24 years,58,568065,10.2100992
Hungary,2016,male,25-34 years,98,633114,15.47904485
Hungary,2016,male,35-54 years,450,1439105,31.26943482
Hungary,2016,male,5-14 years,1,495244,0.201920669
Hungary,2016,male,55-74 years,495,1064355,46.50703947
Hungary,2016,male,75+ years,214,246437,86.83760961
Iceland,1979,female,15-24 years,,21300,0
Iceland,1979,female,25-34 years,,16400,0
Iceland,1979,female,35-54 years,,22200,0
Iceland,1979,female,5-14 years,,20700,0
Iceland,1979,female,55-74 years,,15900,0
Iceland,1979,female,75+ years,,5300,0
Iceland,1979,male,15-24 years,,22500,0
Iceland,1979,male,25-34 years,,17800,0
Iceland,1979,male,35-54 years,,22700,0
Iceland,1979,male,5-14 years,,21700,0
Iceland,1979,male,55-74 years,,14900,0
Iceland,1979,male,75+ years,,3900,0
Iceland,1980,female,15-24 years,,21400,0
Iceland,1980,female,25-34 years,,16800,0
Iceland,1980,female,35-54 years,,22700,0
Iceland,1980,female,5-14 years,,20400,0
Iceland,1980,female,55-74 years,,16000,0
Iceland,1980,female,75+ years,,5600,0
Iceland,1980,male,15-24 years,,22600,0
Iceland,1980,male,25-34 years,,18200,0
Iceland,1980,male,35-54 years,,23000,0
Iceland,1980,male,5-14 years,,21500,0
Iceland,1980,male,55-74 years,,15100,0
Iceland,1980,male,75+ years,,4000,0
Iceland,1981,female,15-24 years,1,21600,4.62962963
Iceland,1981,female,25-34 years,0,17400,0
Iceland,1981,female,35-54 years,1,23000,4.347826087
Iceland,1981,female,5-14 years,0,20300,0
Iceland,1981,female,55-74 years,2,16300,12.26993865
Iceland,1981,female,75+ years,0,5700,0
Iceland,1981,male,15-24 years,4,22700,17.62114537
Iceland,1981,male,25-34 years,3,18700,16.04278075
Iceland,1981,male,35-54 years,3,23500,12.76595745
Iceland,1981,male,5-14 years,0,21300,0
Iceland,1981,male,55-74 years,1,15200,6.578947368
Iceland,1981,male,75+ years,1,4000,25
Iceland,1982,female,15-24 years,1,21700,4.608294931
Iceland,1982,female,25-34 years,0,18100,0
Iceland,1982,female,35-54 years,3,23400,12.82051282
Iceland,1982,female,5-14 years,0,20100,0
