country,year,sex,age,suicides_no,population,rate
Denmark,2003,male,35-54 years,206,784047,26.27393511
Denmark,2003,male,5-14 years,0,350879,0
Denmark,2003,male,55-74 years,129,542296,23.78774691
Denmark,2003,male,75+ years,73,141062,51.7502942
Denmark,2004,female,15-24 years,11,290626,3.784933213
Denmark,2004,female,25-34 years,19,364710,5.209618601
Denmark,2004,female,35-54 years,71,762293,9.314003933
Denmark,2004,female,5-14 years,2,335587,0.595970642
Denmark,2004,female,55-74 years,66,578536,11.40810598
Denmark,2004,female,75+ years,23,237260,9.694006575
Denmark,2004,male,15-24 years,33,301933,10.92957709
Denmark,2004,male,25-34 years,60,369973,16.21739965
Denmark,2004,male,35-54 years,180,782832,22.99343921
Denmark,2004,male,5-14 years,2,353316,0.566065505
Denmark,2004,male,55-74 years,125,553556,22.58127452
Denmark,2004,male,75+ years,69,142305,48.48740382
Denmark,2005,female,15-24 years,7,292929,2.389657562
Denmark,2005,female,25-34 years,10,360100,2.777006387
Denmark,2005,female,35-54 years,58,762175,7.609800899
Denmark,2005,female,5-14 years,0,336548,0
Denmark,2005,female,55-74 years,61,588430,10.36656867
Denmark,2005,female,75+ years,38,236734,16.05177119
Denmark,2005,male,15-24 years,21,305232,6.880012581
Denmark,2005,male,25-34 years,53,364110,14.55604076
Denmark,2005,male,35-54 years,158,781448,20.21887573
Denmark,2005,male,5-14 years,3,354025,0.847397783
Denmark,2005,male,55-74 years,139,564794,24.61074303
Denmark,2005,male,75+ years,83,143327,57.90953554
Denmark,2006,female,15-24 years,9,298500,3.015075377
Denmark,2006,female,25-34 years,15,353444,4.243953781
Denmark,2006,female,35-54 years,57,763418,7.466420755
Denmark,2006,female,5-14 years,1,336170,0.297468543
Denmark,2006,female,55-74 years,71,597984,11.87322738
Denmark,2006,female,75+ years,25,236472,10.57207619
Denmark,2006,male,15-24 years,24,312053,7.691001208
Denmark,2006,male,25-34 years,52,355908,14.61051732
Denmark,2006,male,35-54 years,161,782816,20.56677431
Denmark,2006,male,5-14 years,1,353711,0.282716681
Denmark,2006,male,55-74 years,155,575056,26.95389666
Denmark,2006,male,75+ years,79,144928,54.50982557
Denmark,2007,female,15-24 years,6,305722,1.9625673
Denmark,2007,female,25-34 years,15,345418,4.342564661
