country,year,sex,age,suicides_no,population,rate,Region
Antigua and Barbuda,1987,female,75+ years,0,1081,0,Central America
Antigua and Barbuda,1987,male,15-24 years,0,7421,0,Central America
Antigua and Barbuda,1987,male,25-34 years,0,5893,0,Central America
Antigua and Barbuda,1987,male,35-54 years,0,5927,0,Central America
Antigua and Barbuda,1987,male,5-14 years,0,6499,0,Central America
Antigua and Barbuda,1987,male,55-74 years,0,2798,0,Central America
Antigua and Barbuda,1987,male,75+ years,0,538,0,Central America
Antigua and Barbuda,1988,female,15-24 years,0,7413,0,Central America
Antigua and Barbuda,1988,female,25-34 years,0,6041,0,Central America
Antigua and Barbuda,1988,female,35-54 years,0,6021,0,Central America
Antigua and Barbuda,1988,female,5-14 years,0,6527,0,Central America
Antigua and Barbuda,1988,female,55-74 years,0,3708,0,Central America
Antigua and Barbuda,1988,female,75+ years,0,1141,0,Central America
Antigua and Barbuda,1988,male,15-24 years,0,7209,0,Central America
Antigua and Barbuda,1988,male,25-34 years,0,5826,0,Central America
Antigua and Barbuda,1988,male,35-54 years,0,5907,0,Central America
Antigua and Barbuda,1988,male,5-14 years,0,6355,0,Central America
Antigua and Barbuda,1988,male,55-74 years,0,2813,0,Central America
Antigua and Barbuda,1988,male,75+ years,0,603,0,Central America
Antigua and Barbuda,1989,female,15-24 years,0,7152,0,Central America
Antigua and Barbuda,1989,female,25-34 years,0,6059,0,Central America
Antigua and Barbuda,1989,female,35-54 years,0,5969,0,Central America
Antigua and Barbuda,1989,female,5-14 years,0,6621,0,Central America
Antigua and Barbuda,1989,female,55-74 years,0,3696,0,Central America
Antigua and Barbuda,1989,female,75+ years,0,1195,0,Central America
Antigua and Barbuda,1989,male,15-24 years,0,6927,0,Central America
Antigua and Barbuda,1989,male,25-34 years,0,5835,0,Central America
Antigua and Barbuda,1989,male,35-54 years,0,5862,0,Central America
Antigua and Barbuda,1989,male,5-14 years,0,6403,0,Central America
Antigua and Barbuda,1989,male,55-74 years,0,2843,0,Central America
Antigua and Barbuda,1989,male,75+ years,0,676,0,Central America
Antigua and Barbuda,1990,female,15-24 years,0,6827,0,Central America
Antigua and Barbuda,1990,female,25-34 years,0,6172,0,Central America
Antigua and Barbuda,1990,female,35-54 years,0,5895,0,Central America
Antigua and Barbuda,1990,female,5-14 years,0,6877,0,Central America
Antigua and Barbuda,1990,female,55-74 years,0,3706,0,Central America
Antigua and Barbuda,1990,female,75+ years,0,1252,0,Central America
Antigua and Barbuda,1990,male,15-24 years,0,6598,0,Central America
Antigua and Barbuda,1990,male,25-34 years,0,5937,0,Central America
Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24435247,Central America
Antigua and Barbuda,1990,male,5-14 years,0,6611,0,Central America
Antigua and Barbuda,1990,male,55-74 years,0,2902,0,Central America
Antigua and Barbuda,1990,male,75+ years,0,758,0,Central America
Antigua and Barbuda,1991,female,15-24 years,0,6595,0,Central America
Antigua and Barbuda,1991,female,25-34 years,0,6396,0,Central America
Antigua and Barbuda,1991,female,35-54 years,0,6198,0,Central America
Antigua and Barbuda,1991,female,5-14 years,0,7089,0,Central America
Antigua and Barbuda,1991,female,55-74 years,0,3665,0,Central America
Antigua and Barbuda,1991,female,75+ years,0,1293,0,Central America
Antigua and Barbuda,1991,male,15-24 years,0,6401,0,Central America
Antigua and Barbuda,1991,male,25-34 years,0,6156,0,Central America
Antigua and Barbuda,1991,male,35-54 years,0,6122,0,Central America
Antigua and Barbuda,1991,male,5-14 years,0,6818,0,Central America
Antigua and Barbuda,1991,male,55-74 years,0,2857,0,Central America
Antigua and Barbuda,1991,male,75+ years,0,804,0,Central America
Antigua and Barbuda,1992,female,15-24 years,0,6369,0,Central America
Antigua and Barbuda,1992,female,25-34 years,0,6650,0,Central America
Antigua and Barbuda,1992,female,35-54 years,0,6534,0,Central America
Antigua and Barbuda,1992,female,5-14 years,0,7311,0,Central America
Antigua and Barbuda,1992,female,55-74 years,0,3648,0,Central America
Antigua and Barbuda,1992,female,75+ years,0,1339,0,Central America
Antigua and Barbuda,1992,male,15-24 years,0,6221,0,Central America
Antigua and Barbuda,1992,male,25-34 years,0,6409,0,Central America
Antigua and Barbuda,1992,male,35-54 years,0,6497,0,Central America
Antigua and Barbuda,1992,male,5-14 years,0,7059,0,Central America
Antigua and Barbuda,1992,male,55-74 years,0,2851,0,Central America
Antigua and Barbuda,1992,male,75+ years,0,853,0,Central America
Antigua and Barbuda,1993,female,15-24 years,0,6182,0,Central America
Antigua and Barbuda,1993,female,25-34 years,0,6914,0,Central America
Antigua and Barbuda,1993,female,35-54 years,0,6917,0,Central America
Antigua and Barbuda,1993,female,5-14 years,0,7529,0,Central America
Antigua and Barbuda,1993,female,55-74 years,0,3662,0,Central America
Antigua and Barbuda,1993,female,75+ years,0,1386,0,Central America
Antigua and Barbuda,1993,male,15-24 years,0,6069,0,Central America
Antigua and Barbuda,1993,male,25-34 years,1,6668,14.9970006,Central America
Antigua and Barbuda,1993,male,35-54 years,0,6915,0,Central America
Antigua and Barbuda,1993,male,5-14 years,0,7298,0,Central America
